Id,Holding,LongQty
100,1000,1000
625,1000,1000
725,1000,1000
728,1000,1000
733,2000,2000
793,1000,1000
990,100,100
2007,1000,1000
2027,10000,10000
2074,1000,1000
2153,1000,1000
2202,1000,1000
2214,1000,1000
2271,2000,2000
2340,1000,1000
2382,1000,1000
2389,1000,1000
2407,1000,1000
2444,10000,10000
2466,1000,1000
2555,1000,1000
2602,10000,10000
2739,1000,1000
2796,1000,1000
300010,1000,1000
300027,1000,1000
300038,1000,1000
300072,1000,1000
300078,1000,1000
300124,1000,1000
300251,100,100
300274,1000,1000
300324,1000,1000
300383,1000,1000
300602,1000,1000
300630,1000,1000
300661,1000,1000
600315,1100,1100
600316,1000,1000
600531,10000,10000
600676,2000,2000
600733,10000,10000
600764,1000,1000
600804,1000,1000
600812,1000,1000
600884,10000,10000
601099,1000,1000
601128,1000,1000
601633,1000,1000
601865,1000,1000
603444,1000,1000
603606,1100,1100
603712,1000,1000
603881,1000,1000
688002,1000,1000
688011,1000,1000
688025,1000,1000
688036,1200,1200
688068,1000,1000
688108,1000,1000
688116,1400,1400
688139,1000,1000
